SXUV Responsivity 
lambda (nm)	Responsivity (A/W)       
 1.03979841848149e+002    1.76258992805755e-002
 1.06028771334109e+002    1.76258992805755e-002
 1.08118075107661e+002    1.76258992805755e-002
 1.10248548746743e+002    1.51079136690647e-002
 1.12421003506209e+002    1.51079136690647e-002
 1.14636266626742e+002    1.51079136690647e-002
 1.16895181649858e+002    1.51079136690647e-002
 1.19198608739109e+002    1.51079136690647e-002
 1.21547425007629e+002    1.51079136690647e-002
 1.23942524852120e+002    1.51079136690647e-002
 1.26384820293430e+002    1.51079136690647e-002
 1.28875241323837e+002    1.51079136690647e-002
 1.31414736261176e+002    1.51079136690647e-002
 1.34004272109946e+002    1.51079136690647e-002
 1.36644834929533e+002    1.51079136690647e-002
 1.39337430209685e+002    1.51079136690647e-002
 1.42083083253392e+002    1.51079136690647e-002
 1.44882839567305e+002    1.51079136690647e-002
 1.47737765259851e+002    1.51079136690647e-002
 1.50648947447192e+002    1.76258992805755e-002
 1.53617494667183e+002    1.76258992805755e-002
 1.56644537301491e+002    1.76258992805755e-002
 1.59731228006025e+002    1.76258992805755e-002
 1.62878742149855e+002    1.76258992805755e-002
 1.66088278262772e+002    2.01438848920863e-002
 1.69361058491674e+002    2.01438848920863e-002
 1.72698329065944e+002    2.01438848920863e-002
 1.76101360771993e+002    2.01438848920863e-002
 1.79571449437164e+002    2.01438848920863e-002
 1.83109916423157e+002    2.01438848920863e-002
 1.86718109129192e+002    2.01438848920863e-002
 1.90397401505077e+002    2.01438848920863e-002
 1.94149194574388e+002    2.01438848920863e-002
 2.01876025467904e+002    2.01438848920863e-002
 2.05854005562293e+002    2.01438848920863e-002
 2.09910372010855e+002    2.01438848920863e-002
 2.14046669421752e+002    2.01438848920863e-002
 2.18264472839749e+002    2.01438848920863e-002
 2.22565388345968e+002    2.01438848920863e-002
 2.26951053669467e+002    2.01438848920863e-002
 2.31423138810857e+002    2.26618705035971e-002
 2.35983346678220e+002    2.26618705035971e-002
 2.45375110663982e+002    2.26618705035971e-002
 2.55140652003129e+002    2.01438848920863e-002
 2.60168214996731e+002    2.01438848920863e-002
 2.65294846443190e+002    2.01438848920863e-002
 2.70522498492753e+002    2.01438848920863e-002
 2.75853161762918e+002    2.01438848920863e-002
 2.81288866096426e+002    2.26618705035971e-002
 2.86831681334201e+002    2.51798561151079e-002
 2.98247128621689e+002    2.76978417266187e-002
 3.04124107515622e+002    2.76978417266187e-002
 3.10116892657478e+002    3.02158273381295e-002
 3.16227766016838e+002    3.02158273381295e-002
 3.22459054529639e+002    3.02158273381295e-002
 3.28813130984243e+002    3.02158273381295e-002
 3.35292414924956e+002    3.02158273381295e-002
 3.41899373573363e+002    3.27338129496403e-002
 3.48636522767808e+002    3.27338129496403e-002
 3.55506427921395e+002    3.52517985611511e-002
 3.62511704998853e+002    4.28057553956835e-002
 3.69655021512670e+002    5.28776978417266e-002
 3.76939097538836e+002    6.54676258992806e-002
 3.84366706752616e+002    8.30935251798561e-002
 3.91940677484722e+002    1.00719424460432e-001
 4.07539296587178e+002    1.28417266187050e-001
 4.15569884695635e+002    1.41007194244604e-001
 4.32108908875057e+002    1.58633093525180e-001
 4.40623642777357e+002    1.66187050359712e-001
 4.49306160060046e+002    1.73741007194245e-001
 4.58159766905449e+002    1.83812949640288e-001
 4.67187834644427e+002    1.91366906474820e-001
 4.76393801040134e+002    1.98920863309353e-001
 4.85781171597067e+002    2.06474820143885e-001
 5.05114493954716e+002    2.21582733812950e-001
 5.15067807616812e+002    2.31654676258993e-001
 5.25217251966192e+002    2.39208633093525e-001
 5.35566691770690e+002    2.46762589928058e-001
 5.46120067953641e+002    2.54316546762590e-001
 5.56881399094527e+002    2.61870503597122e-001
 5.67854782959200e+002    2.69424460431655e-001
 5.79044398060248e+002    2.76978417266187e-001
 6.38388045460735e+002    2.99640287769784e-001
 6.50967523045817e+002    3.04676258992806e-001
 6.63794880047562e+002    3.09712230215827e-001
 7.03813555493156e+002    3.27338129496403e-001
 7.31824221907617e+002    3.34892086330935e-001
 7.46244865372303e+002    3.37410071942446e-001
 7.60949668545988e+002    3.39928057553957e-001
 7.91234261898132e+002    3.37410071942446e-001
 8.06825584030289e+002    3.29856115107914e-001
 8.22724134170047e+002    3.19784172661870e-001
 8.38935966265099e+002    3.12230215827338e-001
 8.55467253556568e+002    3.02158273381295e-001
 8.72324290929691e+002    2.87050359712230e-001
 9.07041418111679e+002    2.36690647482014e-001
 9.24914727721733e+002    2.11510791366906e-001
 9.43140232049733e+002    1.83812949640288e-001
 9.61724871115297e+002    1.58633093525180e-001
 9.80675721691577e+002    1.30935251798561e-001

