wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
24.25 1.4827367172317152e-07 5.4332310490708625e-08
24.35 1.2134146465862001e-07 6.59111428913454e-08
24.45 9.097741038096491e-08 5.160561307823518e-08
24.55 7.446638306256335e-08 4.2248977598995104e-08
24.65 6.227770487488214e-08 4.2545079527139934e-08
24.75 4.6310807318500725e-08 2.6404240026247006e-08
24.85 4.748284920839272e-08 3.39776991424417e-08
24.95 4.051408895924883e-08 3.563098298884202e-08
25.05 3.8835368493712286e-08 3.71234767513325e-08
25.15 6.435632170320866e-08 8.260071305573878e-08
25.25 6.308759131241603e-08 7.022068617599528e-08
25.35 4.2019506142884303e-08 2.4547828061934438e-08
25.45 5.869416819409341e-08 2.261681182702292e-08
25.55 2.2786651645770453e-07 8.163919269209551e-08
25.65 3.567108869564399e-07 1.6304205993792087e-07
25.75 3.720657442876556e-07 1.6829072914757448e-07
25.85 1.937005905291472e-07 8.564798804280085e-08
25.95 8.512442357047479e-08 4.096298674290987e-08
26.05 5.784235145079209e-08 3.5934988444894646e-08
26.15 4.19376308005459e-08 3.107367880241036e-08
26.25 4.231431926549281e-08 4.053311283827823e-08
26.35 6.065694234989144e-08 6.052544243303922e-08
26.45 8.088181580960283e-08 9.286708370464168e-08
26.55 7.375813163239493e-08 8.011698146546255e-08
26.65 1.8637071191414857e-08 1.1960913650763177e-08
26.75 1.3909600396658617e-08 8.414196984732529e-09
26.85 9.344606281913202e-09 7.152314018571464e-09
26.95 2.6300860579933532e-08 3.16971132311315e-08
27.05 4.557001761227914e-08 4.990050729903093e-08
27.15 5.7759494539788474e-08 5.012718301289975e-08
27.25 4.173308487441268e-08 2.4206966375947545e-08
27.35 7.612418303502875e-08 9.089969320252787e-08
27.45 8.246238610178902e-08 9.934647495164118e-08
27.55 6.642410055382813e-08 3.7534463417931683e-08
27.65 7.616424025092941e-08 2.8753593499748933e-08
27.75 7.669909850542222e-08 3.1712718103670795e-08
27.85 5.3278473884073285e-08 1.8675970994003614e-08
27.95 3.1248527666745606e-08 1.1871203322572832e-08
