wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
21.75 3.893787790092993e-08 1.9807065076216353e-08
21.85 4.108755820126768e-08 2.8325479229471728e-08
21.95 4.782300558239626e-08 4.098111151791736e-08
22.05 4.53710322206249e-08 3.4677084446147533e-08
22.15 3.9535878783101486e-08 2.5425872376402428e-08
22.25 3.7252966470728745e-08 2.2922265393065762e-08
22.35 4.864630022540902e-08 2.1962628026933735e-08
22.45 6.513216100426115e-08 2.7728218556559193e-08
22.55 8.000071596170644e-08 2.881156048730442e-08
22.65 7.97313257439843e-08 3.054666779036769e-08
22.75 7.201746590548696e-08 3.152717747981873e-08
22.85 4.994230784579884e-08 2.1803702930508983e-08
22.95 3.7461204340474514e-08 1.2897438011476933e-08
23.05 3.2028743169926915e-08 1.0823854874526048e-08
23.15 3.17209320634057e-08 1.1395818956315996e-08
23.25 3.5722621850961006e-08 1.4080206700945708e-08
23.35 4.9310878799847764e-08 2.2677597871206404e-08
23.45 4.83710426324013e-08 2.2304229300031285e-08
23.55 3.762843149495626e-08 1.4066120189943785e-08
23.65 3.2216623035077135e-08 1.248020851221038e-08
23.75 3.7472395878963816e-08 1.3736146863498886e-08
23.85 3.688494352656632e-08 1.8758499151570036e-08
23.95 3.747190087301233e-08 2.400072481113747e-08
24.05 5.9057474145307645e-08 2.4584607972474935e-08
24.15 7.791068597268696e-08 2.6408195561838658e-08
24.25 8.341534378925072e-08 3.049886190945388e-08
24.35 6.840959522015924e-08 3.711739974601789e-08
24.45 5.1347413220228804e-08 2.9092402899260948e-08
24.55 4.198963410332269e-08 2.3793938569034472e-08
24.65 3.495595069110759e-08 2.386165439456416e-08
24.75 2.5714777642638402e-08 1.4651428576518243e-08
24.85 2.5819376502738067e-08 1.8480530407567916e-08
24.95 2.1225028964111345e-08 1.868794562953754e-08
25.05 2.1629032120422765e-08 2.067745668111522e-08
25.15 3.5747169355482516e-08 4.5882644970636316e-08
25.25 3.4996641805491454e-08 3.8954906015398725e-08
25.35 2.3303209125389345e-08 1.3615492296606996e-08
25.45 3.256736112573668e-08 1.2554132142866278e-08
25.55 1.2657509601052622e-07 4.537759863617034e-08
