wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
18.75 1.0934797307651776e-07 5.663344757134421e-08
18.85 1.051714557381983e-07 4.9960356465299265e-08
18.95 9.153567956516939e-08 3.334718242519388e-08
19.05 3.949510102768803e-08 1.7698951176401695e-08
19.15 5.645018372329785e-08 2.7864406250628507e-08
19.25 8.913489871214885e-08 5.525648196846703e-08
19.35 1.0424616197561867e-07 6.358579798486988e-08
19.45 1.2324837072462865e-07 8.736781609564868e-08
19.55 8.945466859023495e-08 6.717139727011254e-08
19.65 5.689926840451804e-08 2.884557002640684e-08
19.75 2.895240639210331e-08 1.7152226950941963e-08
19.85 2.342511735478801e-08 1.1529358571075701e-08
19.95 2.4457871620854e-08 1.5127734514247168e-08
20.05 3.974156481943619e-08 3.127123399721714e-08
20.15 7.717319777150856e-08 7.381244281494407e-08
20.25 8.007302648854026e-08 7.429054201091283e-08
20.35 6.099869671668803e-08 5.557872608874286e-08
20.45 4.2314686829009963e-08 4.666197046006482e-08
20.55 2.3482317326230895e-08 1.6407322784574084e-08
20.65 2.483543710734097e-08 1.2155572822800505e-08
20.75 2.83721500896559e-08 1.4697916094351208e-08
20.85 3.3162084203037453e-08 1.9979050673265828e-08
20.95 3.487952234803174e-08 2.875220466289734e-08
21.05 6.325881518553962e-08 7.529283288987939e-08
21.15 5.974905814290784e-08 7.521283979125748e-08
21.25 3.770316230949173e-08 3.954155704251426e-08
21.35 2.183758685527592e-08 1.5061484295353156e-08
21.45 2.3848332450197184e-08 1.6883572432653918e-08
21.55 3.068078977096247e-08 1.3928319680254084e-08
21.65 4.034897703174313e-08 1.8884081389644263e-08
21.75 4.662329212042927e-08 2.464783508079373e-08
21.85 4.907953039191334e-08 3.457105367239136e-08
21.95 5.697747544787532e-08 4.95214792249901e-08
22.05 5.390512055509175e-08 4.19419478791695e-08
22.15 4.683089256016897e-08 3.088665283418594e-08
22.25 4.3984070790964205e-08 2.7823778069453244e-08
22.35 5.7238205738951836e-08 2.7183280881727492e-08
22.45 7.63571246765529e-08 3.441289067683801e-08
22.55 9.343170144517115e-08 3.639633625514289e-08
22.65 9.275133203961578e-08 3.813139092477936e-08
22.75 8.344183329747779e-08 3.860790518090921e-08
22.85 5.76309357725399e-08 2.661483139374187e-08
22.95 4.3054687703408724e-08 1.6193901145167793e-08
23.05 3.666614772989387e-08 1.359296028820409e-08
23.15 3.6175850853515334e-08 1.4132766016515946e-08
23.25 4.059268342402298e-08 1.7187450342858385e-08
23.35 5.584516061948349e-08 2.7118422129319922e-08
23.45 5.4612485583805487e-08 2.6605438608392343e-08
23.55 4.236692353128169e-08 1.7202063547430053e-08
23.65 3.6186400680008286e-08 1.5162605543130745e-08
23.75 4.2003522072002575e-08 1.681309289366155e-08
23.85 4.1274900297868386e-08 2.202577485703822e-08
23.95 4.1874795029215775e-08 2.7667239561919608e-08
24.05 6.59278968390239e-08 2.9457849796988338e-08
24.15 8.690915711449678e-08 3.265297156162444e-08
24.25 9.300553459279542e-08 3.717071220919515e-08
24.35 7.626026298404249e-08 4.314587098882622e-08
24.45 5.724892380162015e-08 3.369083979379259e-08
24.55 4.684545183809177e-08 2.7558627560019313e-08
24.65 3.9052335995545956e-08 2.735977645122996e-08
24.75 2.8803048870010074e-08 1.7036848880818074e-08
24.85 2.905430629404267e-08 2.132768455628969e-08
24.95 2.4077535226430508e-08 2.159969377624777e-08
25.05 2.3165751682793243e-08 2.2388140540467904e-08
25.15 3.920587506676882e-08 5.067999612835862e-08
25.25 3.897025254690774e-08 4.382408620480262e-08
25.35 2.6180332021130273e-08 1.588327468791405e-08
25.45 3.674401590224633e-08 1.5399855619145746e-08
25.55 1.4294272061679693e-07 5.636632413626084e-08
25.65 2.238183940034382e-07 1.0867680115346161e-07
25.75 2.3324390384286185e-07 1.1212011710705455e-07
25.85 1.2125148926065687e-07 5.708416750248399e-08
25.95 5.320076272125305e-08 2.6993670765834897e-08
26.05 3.6099693419146575e-08 2.3164106228126198e-08
26.15 2.614864113454604e-08 1.9825928984844707e-08
26.25 2.637486769390186e-08 2.5622015333213326e-08
26.35 3.782347749142919e-08 3.824279239536905e-08
26.45 5.0496193418511815e-08 5.8576146364547325e-08
26.55 4.614276452733033e-08 5.071535960706545e-08
26.65 1.169263921501945e-08 7.765239530537223e-09
26.75 8.758508543009175e-09 5.513165920107623e-09
26.85 5.909794804996977e-09 4.643420135634084e-09
26.95 1.6717127734454894e-08 2.037325822367117e-08
27.05 2.9127345640315742e-08 3.2345576666052924e-08
27.15 3.7143886196972617e-08 3.298391748996886e-08
27.25 2.7012246320906786e-08 1.6498122640731527e-08
27.35 4.9608400699594487e-08 6.001533723898277e-08
