wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
21.45 1.2335513700521608e-07 8.52431250454098e-08
21.55 1.5744163346634863e-07 6.721009520228001e-08
21.65 2.054758233814879e-07 9.073809505910604e-08
21.75 2.356863232495511e-07 1.1908603490079027e-07
21.85 2.4633294252750156e-07 1.692117902880217e-07
21.95 2.84004664138467e-07 2.428221751592232e-07
22.05 2.668839359241078e-07 2.0341653321486023e-07
22.15 2.303305188100806e-07 1.4757143148184342e-07
22.25 2.14912693925187e-07 1.3172018644683212e-07
22.35 2.778407073855344e-07 1.2456921171319804e-07
22.45 3.6817743102723624e-07 1.5558765275554763e-07
22.55 4.4740543758070554e-07 1.5956963465284052e-07
22.65 4.409433263130171e-07 1.6758142155985825e-07
22.75 3.93644598554052e-07 1.7133801182498792e-07
22.85 2.696468919706306e-07 1.1708543207636064e-07
22.95 1.9965704831646463e-07 6.817609744965387e-08
23.05 1.6839919067979481e-07 5.645010654667771e-08
23.15 1.64426758609532e-07 5.866739274733314e-08
23.25 1.8245875317583772e-07 7.152241209421728e-08
23.35 2.480836582301894e-07 1.1364203904233565e-07
23.45 2.3967379504646063e-07 1.1008783066914125e-07
23.55 1.8367822581127726e-07 6.825957366864744e-08
23.65 1.55042833894989e-07 5.97343211358595e-08
23.75 1.780406269939242e-07 6.486861944869511e-08
23.85 1.733746158577562e-07 8.789861930858867e-08
23.95 1.7474360828160222e-07 1.1170833829384545e-07
24.05 2.741845884087334e-07 1.1363639061723979e-07
24.15 3.6152624689463935e-07 1.2176594129105564e-07
24.25 3.8839059025983013e-07 1.4127960003836348e-07
24.35 3.206549809865349e-07 1.7360081896829127e-07
24.45 2.426953261066703e-07 1.3724382832125632e-07
24.55 1.99896496056772e-07 1.1305577079173737e-07
24.65 1.6662025393734655e-07 1.1357081667087942e-07
24.75 1.2107501974893402e-07 6.880026359035869e-08
24.85 1.1689961812483181e-07 8.347039833968392e-08
24.95 8.757476804996005e-08 7.691464998358048e-08
25.05 9.851218395981858e-08 9.423406193959377e-08
25.15 1.6380599997691079e-07 2.1022203856812797e-07
25.25 1.6083354486796124e-07 1.7891414604960157e-07
25.35 1.0714178456797862e-07 6.239085415839955e-08
25.45 1.4951941327090448e-07 5.709434382816773e-08
25.55 5.794486667337226e-07 2.0521499676421008e-07
25.65 9.049405631677686e-07 4.106057710074958e-07
25.75 9.41272831596167e-07 4.226129483660191e-07
25.85 4.885562866465167e-07 2.1443051819907963e-07
25.95 2.1403414023966263e-07 1.0240248450204658e-07
26.05 1.4498711202885755e-07 8.979496334197862e-08
26.15 1.0480807660681733e-07 7.751051445183388e-08
26.25 1.054567097162052e-07 1.0092199658688875e-07
26.35 1.5079291260794444e-07 1.50361794534856e-07
26.45 2.006343299444773e-07 2.3027574445771068e-07
26.55 1.8263157948820464e-07 1.9832053349563862e-07
26.65 4.6081355472546226e-08 2.9562209167716293e-08
26.75 3.435751055330604e-08 2.0782962005038045e-08
26.85 2.3067958617491e-08 1.766001288868517e-08
26.95 6.491441406668267e-08 7.824674719699357e-08
27.05 1.1249996130624317e-07 1.2322718633101913e-07
