wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
22.95 1.9993515679688878e-08 6.565499294727514e-09
23.05 1.738041576193086e-08 5.590869877585843e-09
23.15 1.7511089747595444e-08 6.022561580084724e-09
23.25 2.006757138021671e-08 7.628781943080342e-09
23.35 2.818960321506029e-08 1.2624991496437576e-08
23.45 2.8130647542817625e-08 1.2630739572784256e-08
23.55 2.2244712524871502e-08 7.977657715109503e-09
23.65 1.9335787677670414e-08 7.204621141352535e-09
23.75 2.279229485261096e-08 7.994678333493628e-09
23.85 2.2683258067885583e-08 1.1278208586981564e-08
23.95 2.3232021162711217e-08 1.467008096864819e-08
24.05 3.678820349834939e-08 1.4795854795588681e-08
24.15 4.857753340661888e-08 1.5617401102709093e-08
24.25 5.185087134406994e-08 1.81250622742655e-08
24.35 4.2228420317036174e-08 2.246346156427909e-08
24.45 3.137078914008471e-08 1.7457451106917055e-08
24.55 2.533544297452875e-08 1.4102131586049525e-08
24.65 2.082910698868388e-08 1.4044394657641542e-08
24.75 1.5184039333982273e-08 8.495429709849384e-09
24.85 1.5242735233722656e-08 1.0778777291824447e-08
24.95 1.2746366999463075e-08 1.1123140554700023e-08
25.05 1.2350226804559412e-08 1.1728856417044918e-08
25.15 2.0297997641506633e-08 2.595777389524259e-08
25.25 1.9777057292672387e-08 2.1906589888633095e-08
25.35 1.31172055318087e-08 7.527217087966011e-09
25.45 1.827558102692984e-08 6.751364911229535e-09
25.55 7.087137496154507e-08 2.417360410143201e-08
25.65 1.1096359857005586e-07 4.9237386308202285e-08
25.75 1.158945637477793e-07 5.085766237559589e-08
25.85 6.048064101417165e-08 2.5907832923208022e-08
25.95 2.6669297695427216e-08 1.249645245769704e-08
26.05 1.8200351629504193e-08 1.1129945962221328e-08
26.15 1.3264745915142138e-08 9.720582412204467e-09
26.25 1.3465195362121666e-08 1.2813882218541439e-08
26.35 1.9435333212252992e-08 1.9276213789616007e-08
26.45 2.6115158183154517e-08 2.984852757925277e-08
26.55 2.4016771619803874e-08 2.595468728393176e-08
26.65 6.124434311834719e-09 3.873040790189991e-09
26.75 4.616299987609731e-09 2.7464666899337324e-09
26.85 3.134180879412395e-09 2.374262190008417e-09
26.95 8.9205663887931e-09 1.070644536040132e-08
27.05 1.5639317987877004e-08 1.703977725723904e-08
27.15 2.0068436690947494e-08 1.7277478029326405e-08
27.25 1.4687033545364992e-08 8.365851096165383e-09
27.35 2.7147259708417188e-08 3.227966776815634e-08
27.45 2.981040196803884e-08 3.5764964759782245e-08
27.55 2.4348711014562964e-08 1.349684649915385e-08
27.65 2.8316472342915007e-08 1.0227698432191306e-08
27.75 2.892571326083048e-08 1.1529502680553144e-08
27.85 2.0383907075907624e-08 6.784197574896344e-09
27.95 1.2128603948920032e-08 4.4097667956693476e-09
28.05 7.940406247807166e-09 5.10453477773047e-09
28.15 7.289095903397475e-09 5.67001279178368e-09
28.25 1.102557854266293e-08 7.855069248990763e-09
28.35 1.0576726277070474e-07 1.693023214620786e-07
28.45 1.1885878225277404e-07 1.896391156958185e-07
28.55 3.6355769399260203e-08 4.9423266204774725e-08
28.65 7.45198774708145e-09 7.779028814703919e-09
28.75 7.841126314330247e-09 9.374189225192486e-09
28.85 1.0092727914410218e-08 1.3391264600244098e-08
28.95 1.339147024752987e-08 1.1419636994403528e-08
29.05 1.43454824369179e-08 1.088324828663358e-08
29.15 2.4864754671642357e-08 1.550598195289438e-08
29.25 2.2021062473605726e-08 1.3540795212520807e-08
29.35 1.7602049198815213e-08 7.713003227434122e-09
29.45 1.1774270471005745e-08 4.481269990283048e-09
29.55 2.2549099732468853e-08 9.693678331195053e-09
29.65 2.2229883673779373e-08 9.632863462034228e-09
29.75 1.5318034766358147e-08 5.202783423532749e-09
29.85 4.301194436261116e-09 4.676329640027977e-09
29.95 5.290165838343625e-09 5.57351991866273e-09
30.05 5.394573141381959e-09 5.283073785659848e-09
30.15 8.514953765917777e-09 4.951033239428271e-09
30.25 1.4138709353976962e-06 4.546430239309534e-07
30.35 1.7142748614984713e-06 5.513789454166578e-07
30.45 1.7226683677607493e-06 5.540246879231574e-07
30.55 3.136318747445738e-07 1.0085415245662935e-07
30.65 1.8221842184540886e-08 5.976469894946106e-09
30.75 1.3789573705064812e-08 6.395874034778724e-09
30.85 1.1771386317995778e-08 7.344416813352846e-09
30.95 9.325827350003399e-09 5.830420173108642e-09
31.05 1.06860428633004e-08 4.813986307858046e-09
31.15 1.8939386071521115e-08 1.29808131354304e-08
31.25 3.03859221928432e-08 1.637519691171968e-08
31.35 4.4049677979203916e-08 1.4178006928935054e-08
31.45 5.995932496173708e-08 1.930086104871142e-08
31.55 6.672581778503405e-08 2.148323878639662e-08
31.65 4.7785886603280336e-08 1.539273540449039e-08
31.75 2.819713644730842e-08 9.091480671616696e-09
31.85 3.07165685497154e-08 9.904432918421888e-09
31.95 3.748079612438864e-08 1.2080854100000548e-08
32.05 3.8270014480129816e-08 1.4417880195704061e-08
32.15 2.005394682668581e-08 1.1937610390607313e-08
32.25 7.036941286235865e-09 5.506446579864279e-09
32.35 5.443115057520748e-09 3.922552456205122e-09
32.45 5.345985106523529e-09 4.403943487433594e-09
32.55 5.97497607849571e-09 5.168264587039454e-09
32.65 6.867180937142048e-09 6.947188519881022e-09
32.75 9.081682306512123e-09 9.223500971838676e-09
32.85 7.442867917012258e-09 7.310136422792917e-09
32.95 6.17493906973222e-09 4.997523211759853e-09
33.05 4.21217170832854e-09 3.913201788400567e-09
33.15 7.763709008583987e-09 4.8934422416550785e-09
33.25 1.0893399356305973e-08 8.829481663421794e-09
33.35 2.3922350888528155e-08 2.959903346973875e-08
33.45 6.776161130792633e-08 1.0462769733968222e-07
33.55 8.183189392785864e-08 1.2473827135677638e-07
33.65 4.269354886091415e-08 6.308618330479574e-08
33.75 9.389166217948991e-09 7.524196056332634e-09
33.85 1.2055171935806574e-08 7.904900057895835e-09
33.95 1.168159188624476e-08 6.552397285233735e-09
34.05 1.581756641218269e-08 6.8382209716771405e-09
34.15 2.6014895845691268e-08 1.3886659226256768e-08
34.25 2.5028506998883578e-08 1.342241140262333e-08
34.35 1.8569786930831827e-08 7.395055824371885e-09
34.45 2.6778194567038e-08 8.775774404036078e-09
34.55 3.119788220714828e-08 1.0968990010208465e-08
34.65 4.5171746889744134e-08 1.7772911218049327e-08
34.75 3.8439701326973246e-08 2.614509012514339e-08
34.85 4.964636142032715e-08 2.8538987724300084e-08
34.95 3.7704409226777216e-08 2.106618236080946e-08
35.05 3.010928721675373e-08 1.2692002332088943e-08
35.15 3.040186447330018e-08 1.4874451729150622e-08
35.25 2.9171670694967093e-08 1.8798598972508632e-08
35.35 3.341018581667353e-08 2.200926144115649e-08
35.45 2.1412096655303993e-08 1.8591195129956533e-08
35.55 2.4292612043450825e-08 1.7706855127307584e-08
35.65 2.0012255611068705e-08 1.556020270608551e-08
35.75 1.831856118711887e-08 1.0536860275395167e-08
35.85 1.8351186441468433e-08 1.4999761404398796e-08
35.95 3.7462674276088905e-08 4.373228426205927e-08
36.05 7.452833091082943e-08 1.095330667099027e-07
36.15 5.880489280030067e-08 9.246974327885446e-08
36.25 1.2791003528792795e-08 1.5029907724494093e-08
36.35 2.642169067167471e-08 2.489473120190137e-08
36.45 4.07805784614664e-08 3.554223715415158e-08
36.55 3.749270690012628e-08 2.9428761232557632e-08
36.65 6.010137687230583e-08 1.972254598448049e-08
36.75 1.4245973581318745e-07 4.6648861886319786e-08
