wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
20.25 1.8068269157330985e-07 1.6608462103615904e-07
20.35 1.3805835973803252e-07 1.245850984617365e-07
20.45 9.599025638774024e-08 1.051594550925409e-07
20.55 5.33379554590134e-08 3.665623626838838e-08
20.65 5.641725009861155e-08 2.6678928244938033e-08
20.75 6.437183415111914e-08 3.2338122817303647e-08
20.85 7.503642921554341e-08 4.4194825346933724e-08
20.95 7.859073584861588e-08 6.40097188934094e-08
21.05 1.417180127227951e-07 1.6770700707402928e-07
21.15 1.3288820616302208e-07 1.6641523886279984e-07
21.25 8.313229901315815e-08 8.653024329391973e-08
21.35 4.7673144436797486e-08 3.23017824612281e-08
21.45 5.149042868599275e-08 3.5840099384887454e-08
21.55 6.54547601837435e-08 2.847607182463679e-08
21.65 8.500310920679126e-08 3.821420557145411e-08
21.75 9.695633113339692e-08 4.9669693490257434e-08
21.85 1.0074016745147776e-07 6.972384352408961e-08
21.95 1.1545423102583513e-07 9.919495651574324e-08
22.05 1.0788180417113109e-07 8.273019074381148e-08
22.15 9.262973346130844e-08 5.985796418437483e-08
22.25 8.605484784003551e-08 5.323445025346039e-08
22.35 1.1087406198910593e-07 5.0562716335860584e-08
22.45 1.4657788856294481e-07 6.312207658378782e-08
22.55 1.7789459472427127e-07 6.511569858863847e-08
22.65 1.7528462833914627e-07 6.814324591739519e-08
22.75 1.565873540941708e-07 6.933669464141506e-08
22.85 1.0740690780387848e-07 4.744273316446981e-08
22.95 7.967149283995977e-08 2.7956590138361798e-08
23.05 6.732666717338169e-08 2.3215262987638865e-08
23.15 6.585202375094725e-08 2.4093337612573266e-08
23.25 7.315962096185087e-08 2.9288883089268945e-08
23.35 9.950630392401185e-08 4.630437903897473e-08
23.45 9.606151808580333e-08 4.4830508010078986e-08
23.55 7.346649896992132e-08 2.7979813802208046e-08
23.65 6.180497655774528e-08 2.4371868824551398e-08
23.75 7.064379205096675e-08 2.6423928221114727e-08
23.85 6.841121876682231e-08 3.516662417056741e-08
23.95 6.854044484787645e-08 4.419937328461778e-08
24.05 1.0692931293236535e-07 4.521964872148172e-08
24.15 1.4034143629335458e-07 4.86736631661658e-08
24.25 1.5034520561311428e-07 5.602200046703269e-08
24.35 1.240673685664681e-07 6.787123766994381e-08
24.45 9.407980407681535e-08 5.3682324006202645e-08
24.55 7.775308523805208e-08 4.4355573555251554e-08
24.65 6.501239574625387e-08 4.457915721488701e-08
24.75 4.720956386812636e-08 2.7079824062868445e-08
24.85 4.506211843709184e-08 3.2417634733642786e-08
24.95 3.245317796843191e-08 2.872216199440862e-08
25.05 4.2138586243814005e-08 4.0463750558034495e-08
25.15 6.745464387890389e-08 8.675759851626587e-08
25.25 6.434884742546837e-08 7.178950613820134e-08
25.35 4.19855829497436e-08 2.4701125934155832e-08
25.45 5.778543413565606e-08 2.257984956230109e-08
25.55 2.2214773917425844e-07 8.076040824140577e-08
25.65 3.45806586005828e-07 1.5941139874595961e-07
25.75 3.5990365013363273e-07 1.6419640788395677e-07
25.85 1.8747690544671944e-07 8.366633844046695e-08
25.95 8.261553728013434e-08 4.0086090686915035e-08
26.05 5.638438157988462e-08 3.5218088161015014e-08
26.15 4.1109691084701336e-08 3.058629967311188e-08
26.25 4.1746091648669254e-08 4.009738401235323e-08
26.35 6.025937267895866e-08 6.029345809924695e-08
26.45 8.093379370227668e-08 9.313654081960897e-08
26.55 7.434584849277877e-08 8.097630014545611e-08
26.65 1.8921586052595173e-08 1.2245805794046725e-08
26.75 1.422135936881645e-08 8.690037991765815e-09
26.85 9.618543418815748e-09 7.411649444568548e-09
26.95 2.7245092355409416e-08 3.292957759130212e-08
27.05 4.7489541228049426e-08 5.2192442482074505e-08
27.15 6.052891951710723e-08 5.284851758526604e-08
27.25 4.395995282346063e-08 2.5854658158817797e-08
27.35 8.056643560723957e-08 9.653182311993717e-08
