wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
18.75 3.2311814511855644e-07 1.6194312954251076e-07
18.85 3.0872409800239553e-07 1.4094930160160526e-07
18.95 2.6681427692439225e-07 9.062780838331031e-08
19.05 1.1427246319392789e-07 4.893516911870491e-08
19.15 1.620663324748603e-07 7.707244536130598e-08
19.25 2.538466278167685e-07 1.5373638513935298e-07
19.35 2.9442132207900836e-07 1.7530722619169562e-07
19.45 3.451350226907798e-07 2.4036349631078e-07
19.55 2.4834127023709385e-07 1.8357201141780004e-07
19.65 1.5658690716242672e-07 7.665036588668862e-08
19.75 7.89819795075115e-08 4.56211622371925e-08
19.85 6.334849710479224e-08 3.0046426991051815e-08
19.95 6.557295423209826e-08 3.963458228262413e-08
20.05 1.0564877658715097e-07 8.196899783353462e-08
20.15 2.034604497013167e-07 1.927647971478793e-07
20.25 2.0940614863431658e-07 1.923356258342528e-07
20.35 1.5827843868701324e-07 1.4271264496432276e-07
20.45 1.0896963543676954e-07 1.193090853928241e-07
20.55 6.003295656148078e-08 4.119393226745063e-08
20.65 6.30486993525491e-08 2.9713636822645393e-08
20.75 7.154369065477869e-08 3.5827429398551476e-08
20.85 8.308216063961429e-08 4.881490026555e-08
20.95 8.684190458340646e-08 7.063513628948394e-08
21.05 1.5655468236866963e-07 1.851397318400183e-07
21.15 1.470092600937581e-07 1.8398156675321283e-07
21.25 9.224151216335813e-08 9.591789843546619e-08
21.35 5.313052230456538e-08 3.59116333919144e-08
21.45 5.770691734881484e-08 4.006917502739165e-08
21.55 7.384046010952256e-08 3.191326725112318e-08
21.65 9.658988091083637e-08 4.3143904820471776e-08
21.75 1.1101440734431161e-07 5.657860319157859e-08
21.85 1.1623833661913987e-07 8.021565206479202e-08
21.95 1.3421995594198229e-07 1.1509313454432635e-07
22.05 1.2629794565397248e-07 9.660987356740647e-08
22.15 1.0912799002122584e-07 7.026510912486868e-08
22.25 1.019352338476081e-07 6.280626088435253e-08
22.35 1.319258989635242e-07 5.971442727628105e-08
22.45 1.750264904304555e-07 7.473563751833866e-08
22.55 2.129876264574434e-07 7.70374028980626e-08
22.65 2.102754581308509e-07 8.08784680258513e-08
22.75 1.8813264591362257e-07 8.261427322767266e-08
22.85 1.292269109965035e-07 5.65962184537257e-08
22.95 9.60141858170377e-08 3.322551294079371e-08
23.05 8.131922546690759e-08 2.7625816988818536e-08
23.15 7.978891305233313e-08 2.8794842572948746e-08
23.25 8.903053570135413e-08 3.5219305249696684e-08
23.35 1.217856530009481e-07 5.614921499454137e-08
23.45 1.1839986594386243e-07 5.472168559604059e-08
23.55 9.129418254598718e-08 3.4236564335125605e-08
23.65 7.748271072004861e-08 3.0095482925766943e-08
23.75 8.93425463161252e-08 3.283597753422801e-08
23.85 8.718317796972488e-08 4.439202850189543e-08
23.95 8.780931905775954e-08 5.628045270989458e-08
24.05 1.3721193256517457e-07 5.7207013930508486e-08
24.15 1.7950237546221818e-07 6.098664537227836e-08
24.25 1.906478907070414e-07 6.98589806675493e-08
24.35 1.5520584770532573e-07 8.430549413290838e-08
24.45 1.157748317800216e-07 6.567134480821794e-08
24.55 9.426288014018126e-08 5.3480474064576434e-08
24.65 7.835217335097486e-08 5.352625093258548e-08
24.75 5.7793325543208464e-08 3.295093815043879e-08
24.85 5.854958418645573e-08 4.189676265172559e-08
24.95 4.9022102933328115e-08 4.3113534126669676e-08
25.05 4.869031317459644e-08 4.654452750892695e-08
25.15 7.931864705519486e-08 1.0180491126423571e-07
25.25 7.660827738500245e-08 8.52700665413112e-08
25.35 5.0375342573189316e-08 2.942911137665177e-08
25.45 6.95977777396749e-08 2.6817843054471407e-08
25.55 2.6768599571563295e-07 9.590387688566948e-08
25.65 4.1575260206927725e-07 1.9002704556454922e-07
25.75 4.3078716270882765e-07 1.9485100713725738e-07
25.85 2.2303704500066857e-07 9.86200106690368e-08
25.95 9.756968751659587e-08 4.695218260574923e-08
26.05 6.604985012820786e-08 4.1034243958224256e-08
26.15 4.774082027721333e-08 3.537376716562087e-08
26.25 4.804832264872369e-08 4.602593647187727e-08
26.35 6.873472059227383e-08 6.858598719389803e-08
26.45 9.149792990100424e-08 1.050566434690362e-07
26.55 8.332198465525342e-08 9.050565173280725e-08
26.65 2.1028595894969204e-08 1.3495861895928421e-08
26.75 1.5678219608214777e-08 9.48414510840223e-09
26.85 1.0522908549183785e-08 8.054209812871545e-09
26.95 2.9591071322311686e-08 3.566241937464371e-08
27.05 5.122620881284709e-08 5.609420991521121e-08
27.15 6.487105322901205e-08 5.6298947252210995e-08
27.25 4.6827752063201186e-08 2.7161904540207168e-08
27.35 8.533205269303408e-08 1.0189452572079397e-07
27.45 9.233715233477675e-08 1.1124270131946949e-07
27.55 7.429101647616222e-08 4.197898993698455e-08
27.65 8.507601701349332e-08 3.211618407491219e-08
27.75 8.555491154894139e-08 3.537238349504135e-08
27.85 5.9341362799757323e-08 2.0799402397875637e-08
27.95 3.474874056763718e-08 1.3199814614598389e-08
28.05 2.2387812309103893e-08 1.4601736963452612e-08
28.15 2.0225528755606666e-08 1.5890089318284357e-08
28.25 3.011172768550275e-08 2.17084771711144e-08
28.35 2.84366412067045e-07 4.5626884820895207e-07
28.45 3.1467991163393577e-07 5.032748249117333e-07
28.55 9.481391722630684e-08 1.2931933850972206e-07
28.65 1.9151966177870398e-08 2.0104635382340395e-08
28.75 1.986887977813626e-08 2.3855401269546242e-08
28.85 2.5228799403886756e-08 3.359091722283162e-08
28.95 3.304267226605102e-08 2.8415022543874823e-08
29.05 3.496320913238795e-08 2.6807813286824015e-08
29.15 5.990215890867505e-08 3.794462261530176e-08
29.25 5.247980728148521e-08 3.279365951588773e-08
29.35 4.153027915596903e-08 1.8775825991731353e-08
29.45 2.7526542765581533e-08 1.0915654071215361e-08
29.55 5.22812048499612e-08 2.3217388559316852e-08
29.65 5.116195698874712e-08 2.289102459119365e-08
29.75 3.5027694734442816e-08 1.252111291889781e-08
29.85 9.7815825820447e-09 1.069042032072688e-08
29.95 1.197622312063473e-08 1.268808841433497e-08
30.05 1.2169177688104448e-08 1.199454945707516e-08
30.15 1.9158656541551493e-08 1.1342454209212832e-08
30.25 3.1761158644283733e-06 1.0808269592467248e-06
