wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
17.25 2.6093412437941186e-07 8.855064768248969e-08
17.35 3.1969506572759307e-07 1.0854124863564343e-07
17.45 3.5606063650975317e-07 1.208880912032627e-07
17.55 3.982378880319605e-07 1.3526229889564243e-07
17.65 2.6945639267049325e-07 9.156647529787429e-08
17.75 2.3482742030516138e-07 7.980394380442483e-08
17.85 2.0009432757256745e-07 6.80212309055461e-08
17.95 2.4676650918343014e-07 9.885274469639928e-08
18.05 2.733130418131612e-07 1.3174333279101032e-07
18.15 2.5847069881208395e-07 1.003685843233781e-07
18.25 7.967321209901208e-08 3.537460931913466e-08
18.35 1.3414943591113273e-07 4.562713368163687e-08
18.45 1.380605160311133e-07 4.97261454643745e-08
18.55 1.5715273066904309e-07 5.346743012827554e-08
18.65 1.2822548050051094e-07 6.38101171576033e-08
18.75 2.5672286276012556e-07 1.2870169117548106e-07
18.85 2.4558965301570963e-07 1.1215085213057094e-07
18.95 2.12489142901022e-07 7.219174868647706e-08
19.05 9.109770783368631e-08 3.9011808360772836e-08
19.15 1.2931373420297806e-07 6.149171479679294e-08
19.25 2.0270108994580217e-07 1.2274848171437965e-07
19.35 2.3525169568369178e-07 1.4005367307780768e-07
19.45 2.759167048175104e-07 1.9212942623413062e-07
19.55 1.9861473783345536e-07 1.4679242210780742e-07
19.65 1.2526899350719084e-07 6.129715336334439e-08
19.75 6.319709039491917e-08 3.649348400780473e-08
19.85 5.069305943912899e-08 2.4034210994603976e-08
19.95 5.2474591980732344e-08 3.171010176461955e-08
20.05 8.454309310295516e-08 6.558568339605292e-08
20.15 1.6280564362041633e-07 1.5423650965117627e-07
20.25 1.6755265465152335e-07 1.538855652225624e-07
20.35 1.2663720930484622e-07 1.1417918362259244e-07
20.45 8.718464077452322e-08 9.545630336620894e-08
20.55 4.803350224824045e-08 3.296072627359277e-08
20.65 5.045269892805247e-08 2.3780362205611873e-08
20.75 5.726287538708121e-08 2.8680955657490386e-08
20.85 6.651958957357742e-08 3.909008871523944e-08
20.95 6.95595844799321e-08 5.658388980056837e-08
21.05 1.2546650518611161e-07 1.483830415529738e-07
21.15 1.1789200508041377e-07 1.4754852449103925e-07
21.25 7.402598770531786e-08 7.698154679726039e-08
21.35 4.267255711480967e-08 2.8847098901907274e-08
21.45 4.638713247943306e-08 3.2212878319763374e-08
21.55 5.940646989173241e-08 2.5680645961307343e-08
21.65 7.777359547274857e-08 3.4743482367277116e-08
21.75 8.945657638031115e-08 4.5592843185623435e-08
21.85 9.372824083649812e-08 6.46800527179144e-08
21.95 1.082840346850211e-07 9.284972213028592e-08
22.05 1.019277107947348e-07 7.796262257083786e-08
22.15 8.808296912644091e-08 5.670745001029017e-08
22.25 8.226977067493251e-08 5.0681613498745985e-08
22.35 1.0643889782123796e-07 4.8163441217788996e-08
22.45 1.4113061379024e-07 6.024263280597094e-08
22.55 1.7160148357363314e-07 6.204363753127772e-08
22.65 1.6924469735748884e-07 6.507946261631681e-08
22.75 1.5124468189552432e-07 6.640768293351553e-08
22.85 1.037557201459719e-07 4.5439670721789236e-08
22.95 7.698777894583807e-08 2.6644449359437804e-08
23.05 6.512188640292472e-08 2.2129141830205577e-08
23.15 6.382337253104224e-08 2.3040980599457894e-08
23.25 7.114977234765671e-08 2.8155495281195313e-08
23.35 9.726529006478496e-08 4.485572095294588e-08
23.45 9.453781712073497e-08 4.370322345504556e-08
23.55 7.290827825836113e-08 2.734845155966107e-08
23.65 6.191824526432211e-08 2.4052382831445336e-08
23.75 7.147490143582656e-08 2.6267265298625027e-08
23.85 6.98547983972161e-08 3.5564062243064806e-08
23.95 7.049031286139033e-08 4.5174113826086283e-08
24.05 1.103879534758497e-07 4.600692892529264e-08
24.15 1.4474660814844565e-07 4.915494315372133e-08
24.25 1.5410170003278884e-07 5.645641309908322e-08
24.35 1.2575725986538396e-07 6.831500578374992e-08
24.45 9.404630016957037e-08 5.336097266623735e-08
24.55 7.679952178228046e-08 4.359306699857139e-08
24.65 6.409561081756992e-08 4.380339425480708e-08
24.75 4.757746609840526e-08 2.7134764564364165e-08
24.85 4.871180111168311e-08 3.484570265783651e-08
24.95 4.15239678917599e-08 3.6483681135813294e-08
25.05 4.1801486164643234e-08 3.9959605316176156e-08
25.15 6.763008543600491e-08 8.680301525441482e-08
25.25 6.507648049958502e-08 7.243465078777639e-08
25.35 4.274706328773504e-08 2.4972881559556006e-08
25.45 5.912479913931998e-08 2.278248130619543e-08
25.55 2.2805139273238622e-07 8.170358789367642e-08
25.65 3.5566310893055314e-07 1.6256039022663879e-07
25.75 3.7039471787739715e-07 1.675317441793167e-07
25.85 1.928580247336899e-07 8.527373949756172e-08
25.95 8.487416684020886e-08 4.0841910760523256e-08
26.05 5.780625652758171e-08 3.5912259442650145e-08
26.15 4.203373053185686e-08 3.1144730778205676e-08
26.25 4.2549156897361954e-08 4.075797679683828e-08
26.35 6.11990692579e-08 6.106632162014247e-08
26.45 8.187499425505801e-08 9.400741067282325e-08
26.55 7.489645081093912e-08 8.135347481969505e-08
26.65 1.897786749993555e-08 1.2179670645148207e-08
26.75 1.4198229151932938e-08 8.588844287078628e-09
26.85 9.557298889947903e-09 7.315142697834271e-09
26.95 2.6939233868874078e-08 3.246653860599661e-08
27.05 4.672083673797731e-08 5.1160847701739624e-08
27.15 5.924344103146329e-08 5.141531565476082e-08
27.25 4.2800749976233784e-08 2.4826564205487292e-08
27.35 7.802240097994335e-08 9.316662290884855e-08
27.45 8.442221448275704e-08 1.0170786180533747e-07
27.55 6.789198500279876e-08 3.8364392717183946e-08
27.65 7.768467968424008e-08 2.9328339585218185e-08
27.75 7.803310616911432e-08 3.226491913337815e-08
27.85 5.404712433160986e-08 1.8945874934597555e-08
27.95 3.159557787353567e-08 1.200327065175397e-08
28.05 2.031783614640153e-08 1.3252151632996948e-08
28.15 1.8317476085630687e-08 1.4391425000276789e-08
28.25 2.721054487326841e-08 1.961758445544237e-08
28.35 2.5636893938788204e-07 4.1134953152724474e-07
28.45 2.830118065764072e-07 4.526306539796963e-07
28.55 8.506116426825606e-08 1.1601851180941272e-07
28.65 1.7138905900571258e-08 1.799177024074185e-08
28.75 1.773581090732296e-08 2.129465646355116e-08
28.85 2.246411492682847e-08 2.9910231520719545e-08
28.95 2.9349371588728956e-08 2.523970521808829e-08
29.05 3.09805710727361e-08 2.375503079274423e-08
29.15 5.2954805944128725e-08 3.354570123392709e-08
29.25 4.628879872849697e-08 2.8926641892609487e-08
29.35 3.655190594976931e-08 1.652687985201807e-08
29.45 2.4177022998383675e-08 9.58873130273246e-09
29.55 4.5830016763751595e-08 2.0354727124717163e-08
29.65 4.476659708534838e-08 2.0031717683799355e-08
29.75 3.059647041939239e-08 1.0938890580847152e-08
29.85 8.530458653193034e-09 9.323208348446824e-09
29.95 1.0428861088074822e-08 1.104894414868052e-08
30.05 1.0582328081822162e-08 1.0430673739684067e-08
