wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
38.85 7.767623360267509e-09 2.850512421307551e-09
38.95 1.0097539471823663e-08 6.820735289042616e-09
39.05 9.134103695423348e-09 5.8600033212639195e-09
39.15 8.277332937855038e-09 2.8207455066330083e-09
39.25 7.919957832818193e-09 2.700338461262362e-09
39.35 8.065764355739468e-09 3.0608666221281693e-09
39.45 7.285420247847827e-09 2.485613463756784e-09
39.55 6.744433248419952e-09 2.3018478827354192e-09
39.65 6.402282849743764e-09 2.1852633703481288e-09
39.75 5.642365140000936e-09 1.9267015373147176e-09
39.85 8.647103972351964e-09 2.9519363210930896e-09
39.95 1.1683322859239072e-08 3.9879039463383095e-09
40.5 1.765575425806563e-08 3.7236922834380503e-09
41.5 1.2721390323354666e-08 6.6733904682107724e-09
42.5 1.1512780824106913e-08 2.464632503732576e-09
43.5 2.4545823877461603e-08 3.834066597141042e-09
44.5 1.4157292203151697e-08 3.6808151041954475e-09
45.5 1.5722370790472447e-08 2.51458331611936e-09
46.5 4.2798753909196605e-08 5.275382159127855e-09
47.5 1.9571971164081557e-08 3.426472757016349e-09
48.5 3.0718969715712955e-08 6.0656023508874475e-09
49.5 4.1823763385417115e-08 1.5118689455016628e-08
50.5 4.7070228305431634e-08 1.2863457658662275e-08
51.5 1.918799502821772e-08 6.137989724202527e-09
52.5 2.212376205231165e-08 8.484121787130374e-09
53.5 2.3635927219353003e-08 3.690920835578322e-09
54.5 1.526154732148284e-08 2.848932113732093e-09
55.5 8.870968333089758e-08 1.0182226199248337e-08
56.5 2.1242200262601423e-08 3.2244699496826647e-09
57.5 1.835372716110541e-08 3.635492600597707e-09
58.5 1.5581236489846946e-07 2.6209760547948586e-08
59.5 2.7327462273756716e-08 4.219158554838615e-09
60.5 6.355711682744408e-08 1.5258753858639415e-08
61.5 5.197136046416641e-08 1.317330944333537e-08
62.5 1.4486268027253012e-07 1.953916748692653e-08
63.5 1.2832720627464648e-07 1.4092689067828626e-08
64.5 1.8736068849429377e-08 3.0726167701837007e-09
65.5 1.8634130846228913e-08 2.9116064726448507e-09
66.5 2.209734172084074e-08 3.5729285756438252e-09
67.5 1.9115595315076332e-08 3.46210517717693e-09
68.5 4.506655779356387e-08 5.515399114605785e-09
69.5 3.454164010567581e-08 6.226328173225355e-09
70.5 8.490840572252932e-08 9.535144039870175e-09
71.5 3.445290174854589e-08 5.0458176914827e-09
72.5 3.359446117754959e-08 7.568160234134627e-09
73.5 2.473390714486184e-08 4.0414811597020146e-09
74.5 3.766711310731751e-08 5.16759148672536e-09
75.5 5.4208948884758494e-08 6.860414638458252e-09
76.5 1.481374487451298e-07 1.4694436884634314e-08
77.5 1.3271039900242844e-07 1.544664635838137e-08
78.5 2.043545610246997e-07 2.0998766955545623e-08
79.5 1.45766929787362e-07 1.7160546784804542e-08
80.5 1.1679793900115596e-07 1.670932470472429e-08
81.5 1.2797465982423195e-07 1.8527740634443905e-08
82.5 1.5735513614626982e-07 2.3624790446367355e-08
83.5 3.951598083437733e-07 4.5896774213692726e-08
84.5 2.290140063912471e-07 3.4633237044602296e-08
85.5 2.783541770754009e-07 4.289726258253295e-08
86.5 3.232443031026446e-07 4.9019726640549744e-08
87.5 3.918689428228344e-07 5.982801655019994e-08
88.5 4.602196615315605e-07 7.165820565382399e-08
89.5 5.319956145479195e-07 8.275403880280141e-08
90.5 6.423917876944745e-07 9.850991738581701e-08
91.5 5.426565589671755e-07 8.438243623963774e-08
92.5 1.804558243154676e-07 2.6983766333139656e-08
93.5 1.81099206138509e-07 2.681647967103398e-08
94.5 1.275195159947658e-07 1.9240415589964594e-08
95.5 9.789150509320942e-08 1.52746341541372e-08
96.5 6.800400355397383e-08 1.0595677125937579e-08
97.5 1.2634079200246162e-06 3.1841723824219457e-07
98.5 1.424188445163824e-07 1.9197278323450727e-08
99.5 2.0664096781293173e-07 3.068368746196563e-08
100.5 8.474291978303383e-08 1.802400333169084e-08
101.5 1.0750911146568594e-07 1.599794052517162e-08
102.5 8.316770079907677e-07 1.3283575209792586e-07
103.5 6.687636044042628e-07 9.75475236777167e-08
104.5 1.0280756826243239e-07 2.0713316641254994e-08
105.5 9.168799169783263e-08 1.5553496906360822e-08
106.5 9.516946853882406e-08 1.6039799293124704e-08
107.5 1.0633855723472997e-07 1.7255643178583835e-08
108.5 1.4874932149225524e-07 2.859002075924279e-08
109.5 1.0608494984185301e-07 1.7919508518927065e-08
110.5 1.1682025362095978e-07 1.893282963974031e-08
111.5 1.0432962951980404e-07 1.662093603766267e-08
112.5 1.0430146868593335e-07 1.589669596998248e-08
